Cluster,customer_number,total_spend,num_of_unique_visits,total_quantity,average_basket_quantity,average_basket_spend,SUM_basket_categories,avg_spend_veg_category,avg_spend_other_food_category,avg_spend_miscelleanous_category
1,7346,328.78000000000003,27,165,1.2406015037593985,2.47,104,1.1745454545454543,1.73038961038961,3.967878787878788
1,7365,535.76,42,315,1.1842105263157896,2.01,154,1.161276595744681,2.247751937984496,1.823555555555556
1,7665,678.55,78,300,1.0452961672473868,2.36,250,1.0084946236559138,2.0075728155339805,3.6344230769230768
1,7758,354.86,32,180,1.1920529801324504,2.35,116,1.3915094339622642,1.557777777777778,2.573292682926829
1,7830,533.41,35,345,1.15,1.78,140,1.2546694214876033,0.8993055555555556,5.323548387096774
1,7884,323.17,49,166,1.129251700680272,2.2,117,0.824225352112676,1.602631578947368,4.560526315789473
1,7897,477.2,61,274,1.127572016460905,1.96,189,1.2305882352941175,1.442134831460674,2.6907228915662644
1,8099,501.4,59,307,1.0622837370242215,1.73,206,1.0667619047619046,1.2834710743801652,2.89
1,8119,364.44,25,125,1.024590163934426,2.99,91,1.2725,0.9511627906976744,4.082692307692308
1,8181,328.48,28,198,1.087912087912088,1.8,124,1.2465656565656564,1.8445098039215688,2.3125
1,8373,454.78,51,352,1.1210191082802548,1.45,208,0.8585326086956522,1.4313829787234045,2.1927027027027024
1,8450,420.08,33,282,1.2314410480349345,1.83,144,1.1267375886524822,1.1619999999999997,2.637272727272727
1,8455,412.74,45,251,1.2009569377990432,1.97,144,1.0358947368421052,1.923417721518987,2.108831168831169
1,8536,416.26,47,227,1.0966183574879227,2.01,143,1.3017857142857143,1.7749484536082476,2.929130434782609
1,8577,309.88,42,219,1.1116751269035532,1.57,137,0.7065322580645161,1.5186764705882354,4.407407407407407
1,8623,704.68,21,372,1.3726937269372694,2.6,126,1.077328244274809,2.164634146341464,2.427987421383648
1,8720,443.5,63,278,1.287037037037037,2.05,179,0.7697499999999999,0.9407438016528928,2.554529914529914
1,8796,587.85,54,339,1.4008264462809916,2.43,177,1.3528947368421052,1.2246583850931676,2.822156862745098
1,8819,688.11,44,219,1.140625,3.58,146,0.965595238095238,1.2087012987012988,8.860862068965517
1,9001,531.22,35,379,1.238562091503268,1.74,173,1.1016374269005849,1.3594927536231884,2.217571428571428
1,9191,305.75,62,85,1.103896103896104,3.97,76,0.495,2.4975,3.870281690140845
1,9206,392.84,104,226,1.2486187845303869,2.17,161,0.7298666666666667,0.873953488372093,2.7825925925925925
1,9470,519.98,64,269,1.059055118110236,2.05,205,0.982054794520548,1.309080459770115,3.0678899082568805
1,9527,697.08,30,423,1.2332361516034984,2.03,161,1.075530726256983,1.418936170212766,2.9562135922330097
1,9584,566.0600000000001,25,308,1.1755725190839696,2.16,137,1.013854748603352,3.233763440860215,2.328888888888889
1,9602,485.44,60,509,1.3430079155672825,1.28,164,0.7823275862068966,1.3523684210526314,10.15
1,9643,333.64,24,45,1.0,7.41,41,1.2713636363636365,1.936103896103896,13.29
1,9667,644.02,39,204,1.1027027027027028,3.48,134,1.228082191780822,1.841875,7.98078431372549
1,9703,983.12,64,375,1.4534883720930232,3.81,200,1.3010526315789472,1.2673684210526317,4.299759036144578
